Date,Temperature,Humidity,Pressure,HeatIndex
2000-08-02,33.22,23.57,981.62,45.67
2000-08-03,12.32,76.72,994.39,44.67
2000-08-04,27.73,53.76,1024.46,34.87
2000-08-05,32.4,72.79,1008.31,17.94
2000-08-06,34.23,34.45,1013.81,46.51
2000-08-07,32.39,92.72,996.62,28.01
2000-08-08,33.92,60.58,1033.84,42.73
2000-08-09,31.59,30.07,1046.97,13.39
2000-08-10,21.84,64.35,1031.92,25.73
2000-08-11,15.39,39.19,1047.86,37.22
2000-08-12,22.49,24.58,995.41,45.63
2000-08-13,10.83,29.35,1026.23,22.17
2000-08-14,14.88,69.94,1046.22,28.37
2000-08-15,27.93,38.53,1002.37,23.24
2000-08-16,35.32,57.98,1047.8,38.99
2000-08-17,33.63,45.48,1018.76,40.06
2000-08-18,12.45,84.91,1043.9,34.21
2000-08-19,26.94,78.57,1024.23,10.57
2000-08-20,13.06,52.32,1049.06,18.06
2000-08-21,29.7,35.33,1025.94,43.45
2000-08-22,12.43,85.51,1021.4,37.45
2000-08-23,33.64,57.58,1041.94,48.02
2000-08-24,39.88,47.49,1019.78,17.74
2000-08-25,36.47,86.59,988.08,19.43
2000-08-26,17.09,96.03,994.91,33.48
2000-08-27,19.72,97.23,986.89,16.88
2000-08-28,16.6,75.81,1035.98,27.34
2000-09-01,28.13,78.64,1037.88,33.7
2000-09-02,21.44,93.78,1031.02,23.73
2000-09-03,19.48,62.9,1040.64,24.88
2000-09-04,12.62,51.25,1036.52,45.45
2000-09-05,15.43,26.39,1038.92,46.44
2000-09-06,37.91,62.24,982.79,48.05
2000-09-07,19.05,31.24,1018.7,47.9
2000-09-08,27.37,83.32,1048.14,27.54
2000-09-09,19.03,62.73,988.44,44.68
2000-09-10,21.42,53.76,1015.05,31.39
2000-09-11,19.74,65.07,1007.3,29.38
2000-09-12,14.1,73.37,1021.6,32.04
2000-09-13,13.27,21.81,1041.4,30.8
2000-09-14,28.53,82.99,1025.15,15.16
2000-09-15,37.28,53.88,1019.96,45.33
2000-09-16,21.32,73.85,1029.49,32.49
2000-09-17,11.15,72.04,1030.42,16.18
2000-09-18,34.04,27.8,1033.43,16.79
2000-09-19,15.53,66.75,1036.71,22.9
2000-09-20,33.12,42.59,1022.49,47.03
2000-09-21,30.09,47.99,1020.93,17.53
2000-09-22,37.14,42.84,1009.01,18.94
2000-09-23,23.57,96.23,1041.41,44.31
2000-09-24,23.42,78.74,1044.56,35.04
2000-09-25,13.01,93.27,1000.14,42.75
2000-09-26,19.71,24.74,986.5,17.51
2000-09-27,12.3,22.69,993.88,13.08
2000-09-28,14.86,50.99,998.97,35.92
2000-10-01,23.71,92.17,1008.7,22.06
2000-10-02,23.97,38.47,1033.43,28.57
2000-10-03,29.69,97.52,1030.29,36.3
2000-10-04,20.08,81.96,1000.15,36.17
2000-10-05,22.37,45.41,1016.07,23.13
2000-10-06,17.18,93.38,984.46,35.16
2000-10-07,34.44,39.16,993.48,33.26
2000-10-08,13.48,32.36,1046.04,30.47
2000-10-09,20.93,91.51,981.98,45.75
2000-10-10,18.75,46.75,1015.04,32.46
2000-10-11,37.09,83.64,980.5,25.05
2000-10-12,23.55,39.83,1033.52,34.53
2000-10-13,19.99,64.74,993.85,43.04
2000-10-14,25.46,21.04,1036.81,36.66
2000-10-15,28.85,23.62,1002.03,13.91
2000-10-16,19.06,96.14,1022.66,32.05
2000-10-17,27.92,47.26,1013.48,18.58
2000-10-18,38.26,30.73,998.01,31.76
2000-10-19,35.89,37.58,994.17,14.87
2000-10-20,22.15,39.22,1031.42,20.72
2000-10-21,17.62,32.13,1014.26,14.08
2000-10-22,15.93,98.02,1001.66,14.44
2000-10-23,36.99,35.88,1023.64,25.26
2000-10-24,24.01,20.98,1039.46,11.79
2000-10-25,25.34,81.29,1033.01,44.75
2000-10-26,25.09,43.79,999.15,45.75
2000-10-27,27.44,98.19,1010.66,35.28
2000-10-28,34.25,78.44,1004.05,37.77
2000-11-01,13.84,73.37,1042.98,22.86
2000-11-02,32.8,39.39,1008.97,22.43
2000-11-03,21.58,54.07,1000.12,36.74
2000-11-04,11.73,65.27,1033.16,12.93
2000-11-05,10.56,77.91,1027.29,15.79
2000-11-06,37.2,44.46,985.05,39.49
2000-11-07,15.82,84.64,998.4,19.31
2000-11-08,38.06,27.81,1021.83,21.24
2000-11-09,18.68,51.63,1042.13,13.2
2000-11-10,17.84,39.82,991.84,26.86
2000-11-11,22.51,92.34,997.71,12.31
2000-11-12,33.84,90.0,989.24,43.99
2000-11-13,18.32,88.35,985.59,25.3
2000-11-14,39.01,40.75,1013.11,20.99
2000-11-15,22.88,63.79,1000.71,22.44
2000-11-16,11.62,74.69,986.35,23.33
2000-11-17,18.1,82.33,1029.39,47.37
2000-11-18,36.36,64.05,1004.13,29.46
2000-11-19,16.75,37.03,989.67,43.31
2000-11-20,22.65,67.05,980.26,43.09
2000-11-21,16.11,20.47,1001.06,42.82
2000-11-22,32.56,91.68,1044.29,33.26
2000-11-23,11.38,93.96,1016.92,12.46
2000-11-24,28.21,51.62,1035.38,27.12
2000-11-25,19.42,48.46,1042.26,18.9
2000-11-26,10.59,21.82,1048.66,18.9
2000-11-27,14.14,72.14,1008.65,42.42
2000-11-28,25.41,29.66,1015.58,35.13
2000-12-01,12.75,40.97,1037.75,22.78
2000-12-02,37.49,94.91,990.57,43.53
2000-12-03,28.45,28.79,1032.45,28.95
2000-12-04,23.49,72.92,1038.07,33.14
2000-12-05,28.14,35.09,980.71,42.92
2000-12-06,33.04,82.71,1037.24,25.87
2000-12-07,27.15,59.59,1006.52,31.89
2000-12-08,28.49,89.34,1017.04,49.83
2000-12-09,30.98,86.13,1017.5,11.14
2000-12-10,22.11,59.0,1037.83,38.52
2000-12-11,35.8,29.88,990.02,10.74
2000-12-12,17.52,49.76,987.65,41.27
2000-12-13,19.65,91.34,1003.02,28.27
2000-12-14,19.58,95.73,988.05,37.75
2000-12-15,33.94,48.21,981.81,44.93
2000-12-16,29.11,43.07,1033.28,29.71
2000-12-17,10.06,86.28,1048.6,19.95
2000-12-18,25.84,26.82,990.18,11.73
2000-12-19,12.41,94.6,987.11,17.51
2000-12-20,33.49,84.68,993.86,14.78
2000-12-21,27.11,88.42,980.91,25.03
2000-12-22,38.72,82.03,1031.52,17.75
2000-12-23,38.07,25.85,1045.6,22.94
2000-12-24,14.39,86.31,1016.17,35.7
2000-12-25,35.68,31.08,995.08,30.64
2000-12-26,20.09,93.13,1001.4,17.11
2000-12-27,21.2,45.32,1034.34,12.63
2000-12-28,36.39,26.27,1010.93,18.8
2001-01-01,20.87,24.49,987.49,38.98
2001-01-02,24.5,46.81,1039.28,48.27
2001-01-03,27.0,63.12,992.48,23.29
2001-01-04,38.95,21.97,996.08,20.26
2001-01-05,15.13,50.9,1024.4,43.34
2001-01-06,31.19,69.32,1003.07,35.59
2001-01-07,32.7,93.96,1039.02,38.02
2001-01-08,35.81,53.03,993.1,36.46
2001-01-09,26.3,26.38,1036.31,19.14
2001-01-10,22.89,94.24,1047.03,29.78
2001-01-11,26.33,95.8,1031.19,47.45
2001-01-12,24.95,58.89,1013.89,11.44
2001-01-13,29.53,78.83,988.99,22.84
2001-01-14,33.94,84.57,988.92,21.17
2001-01-15,15.83,47.65,1024.98,23.85
2001-01-16,38.71,91.48,1036.3,29.69
2001-01-17,23.36,27.89,1011.25,17.99
2001-01-18,35.62,86.53,1033.71,45.36
2001-01-19,35.62,39.51,987.49,41.33
2001-01-20,26.53,50.33,980.91,47.27
2001-01-21,33.85,49.53,1026.66,33.07
2001-01-22,19.56,33.66,1008.94,47.13
2001-01-23,33.7,66.87,1017.68,46.01
2001-01-24,13.42,78.97,999.22,46.76
2001-01-25,27.39,33.62,1042.18,15.02
2001-01-26,29.26,61.88,1004.79,30.41
2001-01-27,29.92,23.72,984.47,45.06
2001-01-28,28.08,36.06,1022.51,48.12
2001-02-01,31.85,91.9,996.32,24.9
2001-02-02,37.9,69.55,1015.06,11.44
2001-02-03,22.9,51.53,983.55,43.12
2001-02-04,34.92,89.5,1009.48,42.52
2001-02-05,32.04,48.06,1003.68,46.28
2001-02-06,17.87,29.83,1000.92,31.67
2001-02-07,27.5,72.53,1001.84,42.81
2001-02-08,17.45,93.9,1005.1,14.24
2001-02-09,19.84,73.74,1010.47,35.19
2001-02-10,28.36,26.83,981.34,49.83
2001-02-11,27.39,70.77,1049.45,10.11
2001-02-12,29.99,91.49,1048.77,27.65
2001-02-13,16.73,52.4,1047.07,42.58
2001-02-14,17.39,29.96,987.15,35.55
2001-02-15,32.37,28.88,987.04,40.85
2001-02-16,30.58,56.97,1041.13,29.89
2001-02-17,14.49,23.69,1047.86,31.9
2001-02-18,27.67,69.59,1039.3,22.29
2001-02-19,37.57,50.43,1006.56,36.89
2001-02-20,10.01,66.28,988.41,29.28
2001-02-21,32.6,36.91,1022.14,15.41
2001-02-22,12.9,49.31,1022.03,24.16
2001-02-23,31.61,61.08,1048.26,24.16
2001-02-24,22.48,38.08,1008.31,38.14
2001-02-25,13.87,48.89,1034.93,45.65
2001-02-26,39.18,79.41,1021.41,14.26
2001-02-27,33.75,48.58,1016.07,23.65
2001-02-28,39.55,75.94,987.71,21.63
2001-03-01,27.98,39.61,1014.23,45.39
2001-03-02,19.89,48.24,1045.85,46.86
2001-03-03,19.35,62.22,1015.56,14.96
2001-03-04,17.7,71.68,996.41,18.33
2001-03-05,38.61,58.0,1035.28,27.56
2001-03-06,29.5,47.47,997.99,30.41
2001-03-07,22.2,49.12,1027.47,12.13
2001-03-08,33.47,27.14,1023.6,25.03
2001-03-09,37.19,73.91,994.65,27.15
2001-03-10,23.45,69.21,1039.18,18.93
2001-03-11,35.05,63.18,990.47,47.96
2001-03-12,23.26,82.82,1041.95,16.77
2001-03-13,29.75,78.29,1027.03,27.62
2001-03-14,11.58,87.96,1040.29,42.81
2001-03-15,23.97,35.21,1006.72,46.32
2001-03-16,38.95,94.64,1046.32,36.46
2001-03-17,12.03,42.23,1020.71,43.5
2001-03-18,13.7,80.88,998.38,23.23
2001-03-19,32.88,86.62,1041.68,22.29
2001-03-20,27.41,48.6,999.28,17.64
2001-03-21,16.95,80.69,1014.98,49.63
2001-03-22,37.61,98.8,988.14,42.45
2001-03-23,36.34,46.39,1024.42,49.77
2001-03-24,25.19,63.15,1043.39,39.68
2001-03-25,13.46,35.43,983.57,40.1
2001-03-26,29.57,21.73,999.54,26.19
2001-03-27,23.9,79.78,982.87,29.86
2001-03-28,35.62,26.24,1008.36,36.47
2001-04-01,26.21,39.57,1030.86,46.13
2001-04-02,14.57,67.91,1003.81,21.4
2001-04-03,14.99,50.8,1009.79,43.1
2001-04-04,10.16,50.22,1049.33,13.0
2001-04-05,27.79,61.39,983.15,43.0
2001-04-06,38.78,37.3,1040.26,45.9
2001-04-07,18.88,30.18,1026.22,48.09
2001-04-08,13.22,23.47,1038.04,27.22
2001-04-09,20.3,83.98,1039.48,42.44
2001-04-10,32.14,22.97,1011.51,21.69
2001-04-11,16.04,86.69,981.37,17.63
2001-04-12,19.88,67.33,1000.82,30.88
2001-04-13,35.88,64.05,1046.99,38.94
2001-04-14,29.73,78.89,1010.89,31.64
2001-04-15,27.04,77.39,980.48,47.78
2001-04-16,11.46,71.99,1024.41,17.61
2001-04-17,22.32,96.67,1033.93,32.02
2001-04-18,20.34,76.29,1028.45,14.58
2001-04-19,28.1,71.54,1019.1,26.91
2001-04-20,18.94,48.89,1036.89,44.61
2001-04-21,31.77,41.29,1013.29,46.23
2001-04-22,17.48,80.92,1009.82,42.66
2001-04-23,13.4,23.66,992.44,11.66
2001-04-24,24.81,94.72,1006.76,44.2
2001-04-25,14.05,81.9,1048.43,18.84
2001-04-26,19.49,55.91,980.03,24.28
2001-04-27,31.8,66.01,1043.69,45.13
2001-04-28,38.5,78.4,1032.3,30.27
2001-05-01,23.5,88.46,1048.04,17.97
2001-05-02,21.27,87.87,1045.68,41.61
2001-05-03,31.13,51.48,1044.51,27.95
2001-05-04,27.98,96.64,1035.01,29.67
2001-05-05,20.59,46.54,982.73,24.61
2001-05-06,36.04,45.35,984.09,34.54
2001-05-07,38.33,37.09,1002.92,18.73
2001-05-08,25.79,42.96,1024.12,32.28
2001-05-09,20.57,23.7,992.32,38.75
2001-05-10,21.18,24.91,1009.44,33.56
2001-05-11,25.1,98.64,1025.84,30.74
2001-05-12,18.94,66.93,992.3,12.88
2001-05-13,38.75,67.95,998.66,37.1
2001-05-14,27.68,34.55,982.65,44.8
2001-05-15,26.35,75.47,1018.87,48.05
2001-05-16,27.06,83.83,1037.93,18.33
2001-05-17,13.61,88.46,1007.89,41.74
2001-05-18,22.76,89.12,1044.21,46.87
2001-05-19,19.26,59.68,996.34,34.95
2001-05-20,38.05,97.03,1045.86,17.06
2001-05-21,38.47,54.13,1047.65,38.81
2001-05-22,30.94,82.93,1035.26,47.18
2001-05-23,11.05,33.3,992.89,13.47
2001-05-24,35.65,98.91,1039.54,11.8
2001-05-25,26.64,96.05,1043.36,24.34
2001-05-26,26.85,39.6,1041.13,42.86
2001-05-27,34.03,91.97,986.79,43.17
2001-05-28,15.42,75.94,1020.52,24.62
2001-06-01,11.48,25.46,1048.94,49.03
2001-06-02,37.12,71.4,1002.91,30.46
2001-06-03,11.25,20.57,1004.54,15.29
2001-06-04,29.41,71.14,1046.28,46.69
2001-06-05,12.98,52.12,1009.02,11.64
2001-06-06,38.86,37.57,989.22,11.12
2001-06-07,26.92,70.24,1000.72,28.22
2001-06-08,31.49,54.76,1026.75,15.07
2001-06-09,24.72,21.68,984.84,17.92
2001-06-10,10.11,84.18,1034.39,32.18
2001-06-11,23.81,90.79,1012.05,23.37
2001-06-12,21.82,97.44,1016.04,30.45
2001-06-13,26.68,30.98,1031.64,12.09
2001-06-14,36.58,74.46,982.65,15.88
2001-06-15,19.5,44.26,1017.85,17.13
2001-06-16,25.56,60.79,988.77,49.58
2001-06-17,12.91,92.23,1047.3,15.11
2001-06-18,38.24,54.46,1047.84,14.31
2001-06-19,14.18,93.36,990.42,26.28
2001-06-20,32.78,68.24,994.01,39.02
2001-06-21,23.81,56.37,1042.95,49.5
2001-06-22,34.52,69.75,1034.01,10.08
2001-06-23,33.87,72.07,1048.96,21.34
2001-06-24,14.08,84.39,1021.91,16.33
2001-06-25,24.93,72.26,1048.17,46.02
2001-06-26,28.19,31.33,1029.29,29.44
2001-06-27,10.86,92.28,1001.74,31.65
2001-06-28,30.63,70.9,1001.45,41.49
2001-07-01,21.98,45.68,1049.16,32.11
2001-07-02,10.44,28.8,1041.77,18.51
2001-07-03,35.8,79.84,989.08,25.91
2001-07-04,24.88,69.24,1023.57,46.27
2001-07-05,37.64,60.47,988.68,48.11
2001-07-06,13.44,90.6,1032.5,12.3
2001-07-07,20.85,77.89,1005.02,33.77
2001-07-08,39.44,79.34,992.19,18.59
2001-07-09,14.09,84.21,1015.14,24.68
2001-07-10,10.46,39.45,998.49,40.36
2001-07-11,36.59,40.47,981.66,27.65
2001-07-12,20.82,94.18,1005.96,45.15
2001-07-13,10.28,69.54,990.17,47.56
2001-07-14,25.57,60.45,1040.78,17.32
2001-07-15,16.76,36.74,985.42,34.52
2001-07-16,12.25,29.57,1031.99,44.87
2001-07-17,29.27,28.75,1045.39,44.77
2001-07-18,39.76,91.69,1016.36,48.0
2001-07-19,17.56,49.06,1026.44,38.94
2001-07-20,15.86,43.9,1043.8,38.77
2001-07-21,33.44,77.51,1036.25,36.83
2001-07-22,22.25,68.39,1037.83,42.91
2001-07-23,36.14,38.71,1011.2,48.27
2001-07-24,12.24,68.29,986.7,41.19
2001-07-25,36.34,99.77,1048.49,40.21
2001-07-26,17.17,79.12,1042.89,34.4
2001-07-27,15.91,23.64,1011.35,10.17
2001-07-28,22.41,60.22,1011.29,12.96
2001-08-01,14.91,91.7,1042.83,25.72
2001-08-02,15.22,47.23,987.33,33.69
2001-08-03,31.31,93.89,1001.2,45.1
2001-08-04,33.4,89.17,1020.3,17.04
2001-08-05,32.73,34.03,1040.92,40.21
2001-08-06,27.17,73.89,1024.09,29.59
2001-08-07,33.63,35.09,1034.9,10.63
2001-08-08,31.98,24.73,1040.9,34.25
2001-08-09,21.38,59.51,1011.25,46.71
2001-08-10,11.29,74.31,987.89,11.59
2001-08-11,27.82,83.2,1042.42,46.91
2001-08-12,37.66,93.11,1009.93,10.44
2001-08-13,37.29,69.87,1011.97,44.79
2001-08-14,26.12,62.81,1038.46,39.06
2001-08-15,33.1,98.18,1008.03,15.64
2001-08-16,38.65,39.5,994.99,39.25
2001-08-17,31.29,66.72,1039.86,22.01
2001-08-18,23.8,85.18,1049.0,39.95
2001-08-19,35.03,29.08,1000.44,47.06
2001-08-20,29.2,51.34,1004.66,40.69
2001-08-21,25.95,78.45,1047.66,15.34
2001-08-22,27.93,67.07,1014.42,27.44
2001-08-23,31.69,87.9,1004.76,38.68
2001-08-24,16.76,81.35,1026.07,34.98
2001-08-25,17.46,76.97,1017.45,27.94
2001-08-26,39.27,47.91,1009.03,37.09
2001-08-27,30.1,25.77,1026.09,45.26
2001-08-28,22.55,28.81,985.81,28.69
2001-09-01,16.93,74.25,1006.11,29.96
2001-09-02,20.08,52.25,1032.3,43.05
2001-09-03,33.52,69.24,1024.92,16.52
2001-09-04,23.88,33.35,1018.76,29.31
2001-09-05,35.9,45.8,1046.74,46.46
2001-09-06,28.4,47.88,992.29,19.58
2001-09-07,16.02,39.34,1024.06,19.02
2001-09-08,26.97,76.52,1022.51,15.56
2001-09-09,17.63,83.49,1042.18,14.46
2001-09-10,32.23,27.46,1037.0,47.03
2001-09-11,27.74,58.48,1047.81,28.04
2001-09-12,22.25,91.18,1045.47,36.62
2001-09-13,32.7,21.96,1000.77,48.37
2001-09-14,38.43,93.61,990.73,31.65
2001-09-15,39.33,43.02,983.4,36.09
2001-09-16,35.9,31.88,1027.57,24.42
2001-09-17,18.6,56.73,1007.83,33.97
2001-09-18,12.43,23.65,986.88,27.19
2001-09-19,38.4,88.0,993.71,10.24
2001-09-20,24.36,64.58,1025.33,41.65
2001-09-21,33.33,64.72,1012.93,10.18
2001-09-22,38.45,42.64,1018.97,38.67
2001-09-23,35.25,31.38,1021.0,16.95
2001-09-24,29.86,47.41,1024.72,36.33
2001-09-25,28.82,98.37,990.25,19.35
2001-09-26,19.35,85.97,1036.5,48.47
2001-09-27,23.05,49.27,1012.48,29.44
